File name,Updated in Zotero,Updated PDF in Drive,Data input,Region,Age,Photo input,Backward citation searching,OccurenceRecord,SystematicPaleontogy ,Images,BodySize,Specimen,Environment,DatabaseVersion,Remarks
Alexander_1934_Ostracoda of the Midway (Eocene) of Texas.pdf,2026-4-20,2025-11-30,2025-11-30,"Louisiana, Texas",na,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
"Ayress_1995_Late Eocene Ostracoda (Crustacea) from the Waihao District, South Canterbury, New Zealand.pdf",2026-4-20,2025-11-30,2025-11-30,"Waihao district, south Canterbury, New Zealand",Late,2026-2-27,todo,Y,Y,Y,Y,Y,"Deep_Outer shelf to upper slope,within the photic zone, a maximum lower depth limit of approximately 500 m",EMO_Sandbox,
Barker_1974_Eocene Ostracodes from the Fawley Transmission Tunnel.pdf,2026-4-20,2025-12-04,2025-12-04,"Fawley Tunnel, Hampshire, UK",Middle,na_no SEM,todo,Y,N,N,N,N,"Shallow and Deep_from earliest to latest are deltaic or estuarine, shallow water marine conditions, and deeper , less oxygenated conditions",EMO_Sandbox,
"Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf",2026-4-20,2025-12-03,2025-12-03,"Fayoum area, Egypt",Middle and Late,2026-3-1,todo,Y,N,Y_selected,N,N,"Shallow_inner to outer neritic (first ecozone), inner-middle neritic (second ecozone), and shallow water(third ecozone)",EMO_Sandbox,
Bergue_Govindan_2010_Eocene-Pliocene deep sea ostracodes from ODP site 744A.pdf,2026-4-20,2025-11-30,2025-11-30,"Kerguelen Plateau, Indian Ocean",Late,2026-3-1,todo,Y,Y,Y,Y,Y,Deep,EMO_Sandbox,
"Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf",2026-4-20,2025-12-09,2025-12-09,"Jaisalmer Basin, Rajasthan",Late,todo,todo,Y,Y,Y,Y,Y,"Shallow_warm, shallow inner shelf",EMO_Sandbox,
"Blake_1950_Gosport Eocene Ostracoda from Little Stave Creek, Alabama.pdf",2026-4-20,2025-12-07,2025-12-07,"Little Stave Creek, Clarke County, Alabama, USA",Middle,todo,todo,Y,Y,Y,Y,N,marine,EMO_Sandbox,
Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf,2026-4-20,2025-12-10,2025-12-10,"Loire-Atlantque, France",Middle_Bartonien,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf,2026-4-20,2025-12-11,2025-12-11,Northern part of Senegal ,Early,todo,todo,Y,Y,Y_handwriting,Y,N,Shallow_marine or euryhaline,EMO_Sandbox,
Cheetham_1952_Some Wilcox (Eocene) Species of the Ostracode Genus Cytherideis.pdf,2026-4-20,2025-12-05,2025-12-05,"Gulf coast Wilcox units in Alabama state, USA",na,todo,todo,Y,Y,Y_handwriting,Y,N,na,EMO_Sandbox,
"Cronin_Khalifa_1979_Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt.pdf",2026-4-20,2025-12-08,2025-12-08,"Gebel El Mereir, Nile Valley, Egypt",Middle and Late,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin,2026-4-20,2026-2-2,2026-2-2_without systematic description nor SEM,"The Northern Aquitaine Basin, France",Late_Upper Eocene to Early Oligocene,na_no SEM,todo,Y,N,N,N,N,Shallow and Deep ,EMO_Sandbox,
"Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf",2026-4-20,2025-12-02,2025-12-02,"Gebel Mokattam,Cairo, Egypt",Middle and Late,2026-3-1,todo,Y,N,Y,N,N,Shallow_winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7),EMO_Sandbox,
Gooch_1939_Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana.pdf,2026-4-20,2025-12-06,2025-12-06,"Cook Mountain Eocene of Louisiana, USA",Middle,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,age info from https://grokipedia.com/page/cook_mountain_formation
"Guha 1968 Ostracoda from Middle Eocene of Kutch, Gujerat State, western India.pdf",2026-4-20,2026-2-14,2026-2-26,"Kutch, Gujerat state, western India",Middle_Lutetian,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,could be deep water based on assemblage composition.
"Hazel_Holden_1971_Ostracoda of Late Eocene Age from Eua, tonga.pdf",2026-4-20,2026-2-14,2026-2-24,"Eua, Tonga",Late,todo,todo,Y,Y,Y,Y,Y,"Deep_bathyal zone very near a tropical sublittoral environment. Foraminifera fossils suggest a depth of desposition of about 200 feets, yet other groups suggest a considerably greater deposition depth. ",EMO_Sandbox,
"Honigstein_Rosenfeld_Benjamini_2002_Eocene Ostracode Faunas from the Negev, Southern Israel.pdf",2026-4-20,2026-2-14,2026-2-20,"Negev, Southern Israel",Early and Middle and Late,todo,todo,Y,Y,Y,Y,Y,Deep_pelagic,EMO_Sandbox,
"Khosla_1972_Ostracodes from the Eocene Beds of Rajasthan, India",2026-4-20,2026-2-14,2026-2-14,"Rajasthan, India",Early and Middle,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
"Khosla_1994_Ostracoda from the Eocene beds of Tarkeshwar, Surat-Broach region, Gujarat.pdf",2026-4-20,2026-2-14,2026-2-14,"Surat-Broach region, Gujarat",Middle,todo,todo,N,N,Y,N,N,na,EMO_Sandbox,
"Khosla_Pant_1989_Ostracoda from the Eocene and Oligocene beds of Kachchh, Gujarat. Part 2.pdf",2026-4-20,2026-2-14,2026-2-14,"Kachchh, Gujarat",Early and Middle_Ypresian and Lutetian,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
Kiel and Goedert_2006_Eocene wood Fall ostracodes. Palaios,2026-4-20,2026-2-7,2026-2-9,"western Washington State, USA",Late,todo,todo,Y,N,Y_selected,Y,Y_selected,Deep_wood fall association,EMO_Sandbox,
Krutak_1961_Jackson Eocene Ostracoda from the Cocoa Sand of Alabama.pdf,2026-4-20,2026-2-7,2026-2-7,"Choctaw County, Alabama, USA",Middle and Late,todo,todo,Y,Y,Y_handwriting,Y,N,Shallow_based on the ecology of ostracoda fossils),EMO_Sandbox,materials from Jakson Group which is from late Middle Eocene to Late Eocene.
"Marianos_Valentine_1958_Eocene Ostracode Fauna from Marysville Buttes, California",2026-4-20,2026-2-5,2026-2-7,"Marysville Buttes, California, USA",Early,todo,todo,Y,Y,Y_handwriting,Y,N,na,EMO_Sandbox,age info from https://htext.stanford.edu/dd-ill/eocene-capay-text.pdf
Martin_1939_Claiborne Eocene Species of the Ostracode Genus Cytheropteron,2026-4-20,2026-2-2,2026-2-2_Fossil materials from other studies,"the Gulf coastal region, USA",Middle,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
Monostori 1996 Eocene ostracods of Hungary Systematical part 1. (Cytheracea 1).pdf,2026-4-20,2026-2-2,2026-2-2,Hungary,Middle and Late,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
"Murray, Jr_1938_Claiborne Eocene Species of the Ostracode Genus Loxoconcha.pdf",2026-4-20,2026-2-2,2026-2-2,"the Gulf coastal region, USA",MIddle,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
"Nagori et al_2013_Middle Eocene Ostracoda from the Tadkeshwar Lignite Mine, Cambay Basin, Gujarat",2026-4-20,2026-2-2,2026-2-3,"the Tadkeshwar lignite mine, Cambay, Gujarat, India",Middle,todo,todo,Y,N,Y,Y_in the plate caption,N,"Shallow_shallow marine environment with a regular influx of freshwater (brackish?), probably representing an estuary or a protected bay with mangrove vegetation.",EMO_Sandbox,
Neale_Singh_1985_Ostracoda from the Middle Eocene of Assam.pdf,2026-4-20,2026-2-2,2026-2-2,"the Deopani Region of Assam, India",MIddle,todo,todo,Y,Y,Y,Y,N,Shallow_shallow water shelf,EMO_Sandbox,
"Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf",2026-4-20,2026-2-3,2026-2-5,"Wadi Tarfa, North Eastern Desert, Egypt",Late,todo,todo,Y,N,Y,Y,N,Shallow and Deep_inner shelf to upper bathyal,EMO_Sandbox,
"Shahin 2005 Maastrichtian to Middle Eocene ostracodes from Sinai, Egypt.pdf",2026-4-20,2025-12-01,2025-12-01,"Sinai, Egypt",Early and Middle and Late,todo,todo,Y,Y,Y,Y,Y,Shallow and Deep,EMO_Sandbox,
Sheremeta_1971_Stratigraphic significance of the Upper Eocene and Oligocene ostracods.pdf,2026-4-20,2026-1-29,2026-1-29,southern Ukraine,Late,na_no SEM,todo,Y,N,N,N,N,Shallow,EMO_Sandbox,
Stephenson_1938_Lower Eocene Ostracoda of the Genus Cytheridea from Alabama.pdf,2026-4-20,2026-1-29,2026-1-29,"Alabama, USA",Early,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
Stephenson_1942_Some Claiborne Eocene Ostracoda of the Genus Cytheridea from the Gulf Coast.pdf,2026-4-20,2025-12-13,2025-12-13,"Gulf coast, USA (Alabama, Louisiana, Texas, and in the state of Veracruz, Mexico.)",Middle,todo,todo,Y,Y,Y,Y,N,na,EMO_Sandbox,
"Stephenson_1944_Ostracoda from the Reklaw Eocene of Bastrop County, Texas.pdf",2026-4-20,2026-1-9,2026-1-9,"Bastrop County, Texas, US",Middle,todo,todo,Y,Y,Y,Y,N,Shallow_according to the lithology,EMO_Sandbox,
Szczechura_1977_Ostracods from the Upper Eocene of East Poland.pdf,2026-4-20,2026-1-9,2026-1-9,"Siemień, Poland",Late_upper,todo,todo,Y,Y,Y,Y,Y,"Shallow_shallow water, epicontinental",EMO_Sandbox,
Szczechura_2000_Ostracods from the Eocene of Seymour Island.pdf,2026-4-20,2026-1-8,2026-1-8,"Seymour Island, Antarctic Peninsula",na,todo,todo,Y,Y,Y,Y,N,"Shallow_shallow water, high energy environment",EMO_Sandbox,
Yamaguchi_2006_EoceneOstracodaSouthwestJapan.pdf,2026-4-20,2026-1-7,2026-1-7,Southwestern Japan,Middle and Late,todo,todo,Y,Y,Y,Y,Y,na,EMO_Sandbox,
Yamaguchi_Goedert_2009_Early Eocene marine ostracods from the Crescent Formation.pdf,2026-4-20,2026-1-6,2026-1-6,"the Black Hills, southwestern Olympia, Washington, USA",Early,todo,todo,Y,Y,Y,Y,Y,Shallow_subtidal to shelf environment,EMO_Sandbox,
Yamaguchi_Kamiya_2007_Shallow-marine ostracode faunas around the Eocene-Oligocene boundary.pdf,2026-4-20,2025-12-17,2025-12-17,"the northwestern Kyushu, southwestern Japan",Middle and Late,na_no SEM,todo,Y,N,N,N,N,Shallow,EMO_Sandbox,
Yamaguchi_Kamiya_2009_Eocene ostracodes from Hahajima Island of the Ogasawara Islands.pdf,2026-4-20,2025-12-24,2025-12-25,"Ogasawara National Park, Hahajima Island of the Ogasawara(Bonin) Islands of the Izu-Mariana Arc, North Pacific Ocean",Middle and Late,2026-3-8,todo,Y,Y,Y,Y,Y,"Shallow_benthic foraminifera from this sandstone indicate that
it was deposited at a depth of 50 m",EMO_Sandbox,
Yamaguchi_Kurita_2008EoceneOstracodaNorthJapan.pdf,2026-4-20,2025-12-25,2025-12-25,"Hokkaido, North Japan",Middle,na_no SEM,todo,Y,Y,Y_handwriting,Y,Y,na,EMO_Sandbox,
Yamaguchi_Matsubara_Kamiya_2005_Eocene ostracodes from the Iwaya Formation on Awajishima Island 1.pdf,2026-4-20,2025-12-24,2025-12-24,"Awajishima Island, southwestern Japan",Middle and Late,todo,todo,Y,Y,Y,Y,Y,Shallow marine_inner shelf,EMO_Sandbox,
Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf,2026-4-20,2025-12-13,2025-12-13,"Toliara, Madagascar",Early and Middle,todo,todo,Y,Y,Y,Y,Y,"shallow marine, cosatal environment",EMO_Sandbox,
